Активность, nkat mg-1 of protein;Protein, mg/mL;Sample;Group
1,431764192;0,598636364;cs1_30.1;30
1,355498546;0,760757576;cs1_30.2;30
1,433548529;0,681969697;cs2_30.3;30
1,871025913;0,594090909;cs2_30.4;30
1,850067955;0,485;cs2_30.5;30
1,431898803;0,65469697;cs2_30.6;30
1,68887034;0,919848485;cs1_40.1;40
2,865240816;0,556212121;cs1_40.2;40
2,481677142;0,971363636;cs2_40.3;40
2,454797284;0,818333333;cs2_40.4;40
1,445204332;1,445606061;cs2_40.5;40
1,688004331;1,245606061;cs2_40.6;40
3,05969899;0,66530303;cs1_50.1;50
2,189244493;0,997121212;cs1_50.2;50
2,890397444;1,125909091;cs2_50.3;50
3,855076684;0,819848485;cs2_50.4;50
2,637178442;1,228939394;cs2_50.5;50
2,593005281;1,239545455;cs2_50.6;50
2,648976165;1,142575758;cs1_60.1;60
2,670097908;1,213787879;cs1_60.2;60
1,922821483;1,985;cs2_60.1;60
1,212065636;2,044090909;cs2_60.2;60
1,937254115;2,716818182;cs2_60.3;60
2,409865377;2,122878788;cs2_60.4;60
1,912778776;2,436515152;cs2_60.5;60
2,678456592;2,935;cs2_60.6;60
1,227133351;1,888030303;cs1_70.1;70
2,059522318;1,807727273;cs1_70.2;70
3,542574045;1,451666667;cs2_70.3_1:3;70
3,639746264;1,203181818;cs2_70.4_1:3;70
2,706041109;1,618333333;cs2_70.5_1:3;70
2,698690447;1,444090909;cs2_70.6_1:3;70
1,625973255;2,306212121;cs1_80.1_1:5;80
2,16102532;2,138030303;cs1_80.2_1:5;80
2,751331362;1,971363636;cs2_80.3_1:5;80
3,177577478;2,044090909;cs2_80.4_1:5;80
3,600304459;2,101666667;cs2_80.6_1:5;80
3,052194721;4,3;cs2_raw_1:10;Raw
2,49974319;4,339545455;cs2_raw_1:10;Raw
2,861078632;4,4;cs2_raw_1:10;Raw
2,588579304;4,294090909;cs2_raw_1:10;Raw
2,641597097;4,36;cs2_raw_1:10;Raw
2,630890943;4,530454545;cs2_raw_1:10;Raw